From,To,Lag,Correlation,Causal,Type
X1,X1,0,0.0,False,Simultaneous
X1,X1,1,0.021712719308268937,False,Lag1
X1,X1,2,0.04073432183699068,False,Lag2
X1,X2,0,0.029904112371572113,False,Simultaneous
X1,X2,1,0.019032302804769943,False,Lag1
X1,X2,2,0.0165523026695367,False,Lag2
X1,X3,0,0.023099681533431872,False,Simultaneous
X1,X3,1,0.020646718290606256,False,Lag1
X1,X3,2,0.02908378412559345,False,Lag2
X1,X4,0,0.02473227618413134,False,Simultaneous
X1,X4,1,0.02393201123835215,False,Lag1
X1,X4,2,0.02830008466010302,False,Lag2
X1,X5,0,0.022242648056518974,False,Simultaneous
X1,X5,1,0.016661668375443136,False,Lag1
X1,X5,2,0.03203166961141856,False,Lag2
X1,X6,0,0.02564525220971985,False,Simultaneous
X1,X6,1,0.0219849497521782,False,Lag1
X1,X6,2,0.01668964320988067,False,Lag2
X2,X1,0,0.029904112371572113,False,Simultaneous
X2,X1,1,0.017152152138065823,False,Lag1
X2,X1,2,0.027416151161599973,False,Lag2
X2,X2,0,0.0,False,Simultaneous
X2,X2,1,0.022850103411549375,False,Lag1
X2,X2,2,0.021583420303842693,False,Lag2
X2,X3,0,0.025113295035794455,False,Simultaneous
X2,X3,1,0.021197424626149222,False,Lag1
X2,X3,2,0.020972756295617966,False,Lag2
X2,X4,0,0.017115794052774164,False,Simultaneous
X2,X4,1,0.02263143647710947,False,Lag1
X2,X4,2,0.020195106443085767,False,Lag2
X2,X5,0,0.017325508337444,False,Simultaneous
X2,X5,1,0.01856914518278828,False,Lag1
X2,X5,2,0.015620039857363079,False,Lag2
X2,X6,0,0.03031778400905308,False,Simultaneous
X2,X6,1,0.020053100474796037,False,Lag1
X2,X6,2,0.017175585471567414,False,Lag2
X3,X1,0,0.023099681533431872,False,Simultaneous
X3,X1,1,0.020108094631907793,False,Lag1
X3,X1,2,0.019437730379497756,False,Lag2
X3,X2,0,0.025113295035794455,False,Simultaneous
X3,X2,1,0.02547407574429117,False,Lag1
X3,X2,2,0.020686518657387666,False,Lag2
X3,X3,0,0.0,False,Simultaneous
X3,X3,1,0.020572812566193886,False,Lag1
X3,X3,2,0.016910559980120605,False,Lag2
X3,X4,0,0.02486535705339884,False,Simultaneous
X3,X4,1,0.020112363251734287,False,Lag1
X3,X4,2,0.019163212969123038,False,Lag2
X3,X5,0,0.030142078066303903,False,Simultaneous
X3,X5,1,0.016778742733054332,False,Lag1
X3,X5,2,0.023914324686403556,False,Lag2
X3,X6,0,0.017864795778325063,False,Simultaneous
X3,X6,1,0.023560929406972988,False,Lag1
X3,X6,2,0.03744488482149224,False,Lag2
X4,X1,0,0.02473227618413134,False,Simultaneous
X4,X1,1,0.023922923356268767,False,Lag1
X4,X1,2,0.02171440599819901,False,Lag2
X4,X2,0,0.017115794052774164,False,Simultaneous
X4,X2,1,0.01741742097339411,False,Lag1
X4,X2,2,0.028557468293962347,False,Lag2
X4,X3,0,0.02486535705339884,False,Simultaneous
X4,X3,1,0.016448515772947123,False,Lag1
X4,X3,2,0.02580940092900881,False,Lag2
X4,X4,0,0.0,False,Simultaneous
X4,X4,1,0.023121346664916508,False,Lag1
X4,X4,2,0.018276265713446326,False,Lag2
X4,X5,0,0.02258851629045307,False,Simultaneous
X4,X5,1,0.01709540945890066,False,Lag1
X4,X5,2,0.016265136020926448,False,Lag2
X4,X6,0,0.01829393409134136,False,Simultaneous
X4,X6,1,0.013954124422032874,False,Lag1
X4,X6,2,0.01748953765763428,False,Lag2
X5,X1,0,0.022242648056518974,False,Simultaneous
X5,X1,1,0.018688798825683098,False,Lag1
X5,X1,2,0.016276250976944902,False,Lag2
X5,X2,0,0.017325508337444,False,Simultaneous
X5,X2,1,0.01633161199298749,False,Lag1
X5,X2,2,0.031262081383174684,False,Lag2
X5,X3,0,0.030142078066303903,False,Simultaneous
X5,X3,1,0.016679528798099513,False,Lag1
X5,X3,2,0.02369916569207314,False,Lag2
X5,X4,0,0.02258851629045307,False,Simultaneous
X5,X4,1,0.01759784040662631,False,Lag1
X5,X4,2,0.034453825710857214,False,Lag2
X5,X5,0,0.0,False,Simultaneous
X5,X5,1,0.01925148300520656,False,Lag1
X5,X5,2,0.02196891659145593,False,Lag2
X5,X6,0,0.02393967685277697,False,Simultaneous
X5,X6,1,0.01899994575629185,False,Lag1
X5,X6,2,0.020396782996014055,False,Lag2
X6,X1,0,0.02564525220971985,False,Simultaneous
X6,X1,1,0.0167677937205495,False,Lag1
X6,X1,2,0.028169101065734083,False,Lag2
X6,X2,0,0.03031778400905308,False,Simultaneous
X6,X2,1,0.015533453559611358,False,Lag1
X6,X2,2,0.017708054033770817,False,Lag2
X6,X3,0,0.017864795778325063,False,Simultaneous
X6,X3,1,0.01909415841896225,False,Lag1
X6,X3,2,0.02405498389927979,False,Lag2
X6,X4,0,0.01829393409134136,False,Simultaneous
X6,X4,1,0.015350897585579322,False,Lag1
X6,X4,2,0.01526272913731862,False,Lag2
X6,X5,0,0.02393967685277697,False,Simultaneous
X6,X5,1,0.03170122482475499,False,Lag1
X6,X5,2,0.019192371287096402,False,Lag2
X6,X6,0,0.0,False,Simultaneous
X6,X6,1,0.01753662814454395,False,Lag1
X6,X6,2,0.027789967087870304,False,Lag2
