From,To,Lag,P_value,Value,Causal,Type
X2,X4,1,0.0028349035295877766,0.13458257664627254,True,Lag1
X6,X5,0,0.00371210593840424,-0.1309863111615738,True,Simultaneous
X5,X6,0,0.00371210593840424,-0.1309863111615738,True,Simultaneous
X3,X1,2,0.0060670050229544885,0.12380644953034323,True,Lag2
X1,X4,2,0.025733321572141258,0.10075158211469645,True,Lag2
X4,X4,1,0.03095480452418138,-0.09739018071527156,True,Lag1
X6,X6,2,0.042589900907240755,0.09155034635435241,True,Lag2
X1,X1,2,0.056388947234571274,0.08634331725640777,False,Lag2
X6,X2,0,0.06261575432707522,-0.08417818083020118,False,Simultaneous
X2,X6,0,0.06261575432707522,-0.08417818083020118,False,Simultaneous
X3,X2,1,0.09704499083366941,-0.07504779010484643,False,Lag1
X2,X1,0,0.13627246931895934,0.06753700725618075,False,Simultaneous
X1,X2,0,0.13627246931895934,0.06753700725618075,False,Simultaneous
X3,X1,0,0.1367120138259403,-0.06732330380767482,False,Simultaneous
X1,X3,0,0.1367120138259403,-0.06732330380767482,False,Simultaneous
X5,X1,3,0.1444351759944433,0.06609658516409431,False,Lag3
X2,X4,3,0.14563853247061814,0.06583202688884465,False,Lag3
X5,X2,1,0.15282398245669815,-0.0647478399683743,False,Lag1
X6,X4,1,0.1539526063206409,0.06443866541512638,False,Lag1
X2,X1,3,0.1557143254512299,0.06429616842737845,False,Lag3
X2,X2,1,0.17250918100055418,0.06185325906281381,False,Lag1
X4,X1,3,0.1805195854937735,-0.06059610423495966,False,Lag3
X1,X4,1,0.18487081834952998,0.059997594764788095,False,Lag1
X4,X4,2,0.1935652117588378,-0.058832103730162746,False,Lag2
X4,X3,3,0.20779630908022267,0.05700441428336998,False,Lag3
X1,X5,1,0.20813665807019793,0.05707884630357391,False,Lag1
X1,X3,3,0.23485878437826466,-0.053763953956411495,False,Lag3
X4,X2,1,0.2445703644953843,-0.05271989522337108,False,Lag1
X4,X5,2,0.2452854442509196,-0.05264017806084211,False,Lag2
X4,X3,0,0.24919670504114622,0.052153499293195356,False,Simultaneous
X3,X4,0,0.24919670504114622,0.052153499293195356,False,Simultaneous
X3,X4,3,0.255077219491943,-0.05151170374114213,False,Lag3
X5,X2,3,0.2596756138399608,-0.05106928771629793,False,Lag3
X6,X6,1,0.2648323107353871,0.05046926856065683,False,Lag1
X1,X2,1,0.27677318889121116,0.04927905469167736,False,Lag1
X2,X3,1,0.2778739302979162,-0.04911602545511379,False,Lag1
X6,X3,0,0.2958342515203335,-0.04732113674348977,False,Simultaneous
X3,X6,0,0.2958342515203335,-0.04732113674348977,False,Simultaneous
X5,X1,0,0.302721188196515,-0.046748145115657766,False,Simultaneous
X1,X5,0,0.302721188196515,-0.046748145115657766,False,Simultaneous
X5,X4,1,0.3178947878350374,-0.04525968101352426,False,Lag1
X3,X4,1,0.3244455759350314,-0.044605948729746644,False,Lag1
X3,X5,1,0.32940661933483073,0.04419658904848302,False,Lag1
X6,X2,3,0.33059350471425186,0.04408836032683764,False,Lag3
X1,X1,3,0.34516013553924774,-0.04282393071125705,False,Lag3
X6,X4,3,0.361412766703181,0.041318435418342986,False,Lag3
X1,X4,3,0.3634034053122003,0.041189806675827396,False,Lag3
X5,X2,2,0.36635326538206403,-0.0409795286987948,False,Lag2
X3,X2,2,0.37401514322243157,0.04028773788605715,False,Lag2
X4,X1,2,0.3834108129555168,0.03950213484581609,False,Lag2
X5,X6,1,0.3991066714548258,0.03821549745406926,False,Lag1
X3,X2,3,0.407786577489905,-0.03751702156034367,False,Lag3
X6,X4,2,0.412760980634711,0.037082644878233297,False,Lag2
X4,X4,3,0.41746860285596366,-0.036710560441061,False,Lag3
X4,X1,1,0.41868844811134587,-0.03661454857983092,False,Lag1
X1,X2,3,0.42049309485237885,0.03654780529652778,False,Lag3
X1,X6,2,0.4207911697816482,0.036486848137691916,False,Lag2
X6,X1,3,0.43288019801271305,0.035545792657771406,False,Lag3
X3,X1,3,0.44459355944505363,0.03464833916006695,False,Lag3
X4,X2,3,0.4465393096667759,0.034500572866421636,False,Lag3
X1,X6,1,0.4522305259118755,-0.03403550484164212,False,Lag1
X1,X1,1,0.45919526777572517,0.033582710627200925,False,Lag1
X6,X1,0,0.45946342368125825,-0.03352817917477537,False,Simultaneous
X1,X6,0,0.45946342368125825,-0.03352817917477537,False,Simultaneous
X3,X5,2,0.4757284620554594,0.03232584749349597,False,Lag2
X2,X3,2,0.48396814350228967,-0.03172536201614928,False,Lag2
X3,X3,3,0.4864943870072663,-0.03151001639957822,False,Lag3
X4,X5,1,0.5236851781849008,0.028904614686494592,False,Lag1
X5,X3,3,0.5336938970902733,0.028211465812078455,False,Lag3
X2,X1,2,0.5381637259616967,-0.027932743511989926,False,Lag2
X1,X3,2,0.5416353059892123,0.027666138535301095,False,Lag2
X2,X6,1,0.5512287697425828,0.027012641525048727,False,Lag1
X4,X2,0,0.5542242007950242,-0.026754825560972816,False,Simultaneous
X2,X4,0,0.5542242007950242,-0.026754825560972816,False,Simultaneous
X2,X4,2,0.5583536523510012,-0.026503691503104727,False,Lag2
X2,X3,3,0.5587328599097889,-0.02650535174928085,False,Lag3
X4,X6,1,0.5675517368227827,0.025886793802050743,False,Lag1
X6,X3,3,0.5705662751194387,0.025685658050544458,False,Lag3
X3,X3,1,0.57255126980567,0.025553491062963094,False,Lag1
X4,X6,3,0.573982568661378,-0.025458325409448774,False,Lag3
X5,X6,3,0.574300323880615,0.025463334550007106,False,Lag3
X4,X5,3,0.5802577379433874,0.025068124407694414,False,Lag3
X5,X4,0,0.5811848548165542,0.024981138355458267,False,Simultaneous
