From,To,Lag,P_value,Value,Causal,Type,Edge_Type,Restricted_MSE,Full_MSE
X5,X5,1,0.03225806451612903,0.00016523493461932832,True,Lag1,Lagged,0.010917058798011296,0.010751823863391968
X5,X5,2,0.06451612903225806,0.00011417028587561162,False,Lag2,Lagged,0.01091074005737761,0.010796569771501998
X6,X2,2,0.06451612903225806,3.310885262483229e-05,False,Lag2,Lagged,0.00990183497109862,0.009868726118473788
X2,X1,1,0.0967741935483871,0.00021139726234764566,False,Lag1,Lagged,0.010465130102639024,0.010253732840291378
X1,X4,2,0.0967741935483871,0.00013352374945675705,False,Lag2,Lagged,0.01116475077545701,0.011031227026000253
X4,X1,1,0.0967741935483871,0.00011674356720232752,False,Lag1,Lagged,0.010353100709284082,0.010236357142081754
X3,X1,1,0.0967741935483871,0.00010082744253494744,False,Lag1,Lagged,0.010319006842157823,0.010218179399622876
X4,X2,2,0.0967741935483871,6.810669161282784e-05,False,Lag2,Lagged,0.00993270859985147,0.009864601908238643
X6,X1,2,0.12903225806451613,0.00023127482183973,False,Lag2,Lagged,0.010412186688054824,0.010180911866215094
X5,X6,2,0.12903225806451613,6.5315139279154e-05,False,Lag2,Lagged,0.010232174280142467,0.010166859140863313
X5,X4,2,0.1935483870967742,0.0001042435150420476,False,Lag2,Lagged,0.011301318595460122,0.011197075080418074
X5,X6,1,0.22580645161290322,6.51575502158084e-05,False,Lag1,Lagged,0.010287394163845928,0.01022223661363012
X4,X4,1,0.25806451612903225,0.000191819904089445,False,Lag1,Lagged,0.011341506817884974,0.01114968691379553
X2,X2,2,0.25806451612903225,0.00014551926366187552,False,Lag2,Lagged,0.010068685979816918,0.009923166716155042
X6,X6,1,0.25806451612903225,1.8839312932401875e-05,False,Lag1,Lagged,0.01025484386608846,0.010236004553156057
X2,X4,1,0.2903225806451613,0.00016400997881032935,False,Lag1,Lagged,0.011313304244196546,0.011149294265386217
X3,X4,1,0.3225806451612903,0.0001864837404296927,False,Lag1,Lagged,0.011379992500094966,0.011193508759665273
X2,X5,1,0.3225806451612903,4.563833497942156e-05,False,Lag1,Lagged,0.010992108223989558,0.010946469889010137
X2,X4,2,0.3225806451612903,2.116740521969883e-05,False,Lag2,Lagged,0.011193406512825526,0.011172239107605828
X1,X2,2,0.3548387096774194,0.00013843746140092435,False,Lag2,Lagged,0.010179375309467685,0.01004093784806676
X5,X2,1,0.3548387096774194,0.00013255237149691762,False,Lag1,Lagged,0.010105202858897362,0.009972650487400444
X1,X3,2,0.3548387096774194,6.562439931034024e-05,False,Lag2,Lagged,0.010995490035171846,0.010929865635861506
X4,X5,1,0.41935483870967744,0.00021517007703729905,False,Lag1,Lagged,0.011183541807463379,0.01096837173042608
X1,X5,1,0.41935483870967744,1.7006918928936382e-05,False,Lag1,Lagged,0.010945134489253267,0.01092812757032433
X3,X5,2,0.41935483870967744,2.0752855296179984e-06,False,Lag2,Lagged,0.010954173016727943,0.010952097731198325
X1,X1,2,0.45161290322580644,0.0001355162042689026,False,Lag2,Lagged,0.010455175025854182,0.01031965882158528
X5,X1,2,0.45161290322580644,4.489053051296918e-05,False,Lag2,Lagged,0.01033939595429773,0.010294505423784761
X2,X5,2,0.4838709677419355,0.00013729685506768188,False,Lag2,Lagged,0.01108794001885653,0.010950643163788848
X6,X3,2,0.4838709677419355,1.6109505973676413e-05,False,Lag2,Lagged,0.011012438013691948,0.010996328507718272
