From,To,Lag,P_value,Correlation,Causal,Type
X3,X1,2,0.002,0.15436260820606343,True,Lag2
X6,X5,0,0.008,0.1287180779946147,True,Simultaneous
X5,X6,0,0.008,0.1287180779946147,True,Simultaneous
X2,X1,0,0.014,0.11286233528121709,True,Simultaneous
X1,X2,0,0.014,0.11286233528121709,True,Simultaneous
X2,X4,1,0.014,0.11266746237885586,True,Lag1
X4,X6,4,0.014,0.11560305007140334,True,Lag4
X1,X1,4,0.032,0.10214294312290954,True,Lag4
X4,X4,1,0.032,0.10300916668901347,True,Lag1
X6,X6,4,0.032,0.1021653862712603,True,Lag4
X6,X1,4,0.036,0.10155080827401276,True,Lag4
X4,X3,4,0.04,0.09966454154907393,True,Lag4
X6,X6,1,0.04,0.10067326132364611,True,Lag1
X1,X4,2,0.042,0.09909245480043764,True,Lag2
X5,X2,3,0.046,0.09785670077531632,True,Lag3
X5,X2,4,0.07,0.09595178286736172,False,Lag4
X1,X3,3,0.07,0.09596775761439327,False,Lag3
X1,X1,2,0.072,0.09537662924353951,False,Lag2
X3,X1,0,0.082,0.09435439207332266,False,Simultaneous
X1,X3,0,0.082,0.09435439207332266,False,Simultaneous
X2,X1,2,0.102,0.09209886129522239,False,Lag2
X1,X3,4,0.102,0.0911882864639326,False,Lag4
X4,X5,3,0.108,0.09066122857675635,False,Lag3
X5,X1,2,0.11,0.09026959530423245,False,Lag2
X1,X2,4,0.114,0.08971518850481107,False,Lag4
X6,X4,1,0.114,0.08983201861482955,False,Lag1
X2,X1,3,0.12,0.08873356976653318,False,Lag3
X3,X4,4,0.122,0.08867950588956981,False,Lag4
X4,X2,1,0.138,0.08682677689081714,False,Lag1
X5,X4,3,0.138,0.08681342075250627,False,Lag3
X1,X6,4,0.144,0.08653225852548849,False,Lag4
X6,X6,2,0.148,0.08618555438101672,False,Lag2
X3,X3,4,0.15,0.08600262419937392,False,Lag4
X6,X1,0,0.156,0.0853007590976576,False,Simultaneous
X2,X4,3,0.156,0.08553069028738045,False,Lag3
X1,X6,0,0.156,0.0853007590976576,False,Simultaneous
X4,X5,4,0.158,0.08514434676396834,False,Lag4
X6,X4,0,0.166,0.08436791462001524,False,Simultaneous
X4,X6,0,0.166,0.08436791462001524,False,Simultaneous
X5,X1,3,0.178,0.08333472330067586,False,Lag3
X5,X2,2,0.18,0.08329031953021054,False,Lag2
X1,X4,4,0.188,0.08285473207486008,False,Lag4
X6,X1,1,0.194,0.08233757861310552,False,Lag1
X3,X6,4,0.194,0.08241674840448136,False,Lag4
X5,X4,1,0.198,0.08207880811131978,False,Lag1
X5,X1,0,0.206,0.08157165783513123,False,Simultaneous
X6,X2,3,0.206,0.08157376540856649,False,Lag3
X6,X3,0,0.206,0.08142730363833772,False,Simultaneous
X4,X4,2,0.206,0.08142120675708826,False,Lag2
X1,X5,0,0.206,0.08157165783513123,False,Simultaneous
X3,X6,0,0.206,0.08142730363833772,False,Simultaneous
X2,X2,1,0.222,0.08029250595217734,False,Lag1
X2,X3,2,0.224,0.08000791671251471,False,Lag2
X5,X3,1,0.224,0.0798564108181279,False,Lag1
X4,X1,3,0.232,0.07880743413992107,False,Lag3
X6,X3,1,0.24,0.07854719111156833,False,Lag1
X6,X3,2,0.246,0.07800038752186257,False,Lag2
X1,X2,1,0.248,0.07792916737666883,False,Lag1
X2,X3,3,0.27,0.07724327362927633,False,Lag3
X1,X4,1,0.276,0.07715054626056565,False,Lag1
X4,X3,3,0.278,0.07700595588505658,False,Lag3
X2,X4,4,0.278,0.07693790978741216,False,Lag4
X4,X1,2,0.28,0.07692670010072124,False,Lag2
X5,X4,4,0.284,0.076698094530249,False,Lag4
X2,X1,4,0.288,0.07656010698903394,False,Lag4
X1,X3,2,0.288,0.07650548234121653,False,Lag2
X3,X2,1,0.306,0.07530336696911587,False,Lag1
X5,X4,0,0.306,0.07532620002585173,False,Simultaneous
X4,X5,0,0.306,0.07532620002585173,False,Simultaneous
X3,X5,1,0.314,0.0748550401509927,False,Lag1
X5,X6,1,0.314,0.0748794629312321,False,Lag1
X6,X2,0,0.316,0.0746822165267919,False,Simultaneous
X2,X6,0,0.316,0.0746822165267919,False,Simultaneous
X5,X1,4,0.322,0.07443683796059211,False,Lag4
X3,X3,3,0.344,0.07341840321618194,False,Lag3
X6,X3,3,0.346,0.07340178562998068,False,Lag3
X4,X5,2,0.354,0.07306660350030057,False,Lag2
X1,X4,3,0.368,0.07224167215952267,False,Lag3
X4,X3,0,0.376,0.07147310813946912,False,Simultaneous
X3,X4,0,0.376,0.07147310813946912,False,Simultaneous
X1,X2,3,0.396,0.07067032422258135,False,Lag3
X4,X1,1,0.402,0.07013097371552787,False,Lag1
X3,X3,1,0.402,0.0701033303436395,False,Lag1
X3,X2,3,0.414,0.06954544920820921,False,Lag3
X2,X3,1,0.414,0.06962348349092806,False,Lag1
X2,X3,4,0.414,0.06933457834552569,False,Lag4
X5,X3,3,0.414,0.06940478351338171,False,Lag3
X6,X4,2,0.422,0.069100245574216,False,Lag2
X5,X3,4,0.462,0.06746366428696883,False,Lag4
X2,X6,2,0.464,0.0673858859603545,False,Lag2
X6,X2,4,0.47,0.06694058645998767,False,Lag4
X1,X5,1,0.472,0.06688593293860386,False,Lag1
X6,X2,2,0.474,0.0667642278449267,False,Lag2
X5,X5,2,0.486,0.06636161389320351,False,Lag2
X6,X4,3,0.496,0.06592664096944076,False,Lag3
X6,X4,4,0.496,0.06584448350025976,False,Lag4
X2,X5,2,0.51,0.06549939354002086,False,Lag2
X1,X5,4,0.512,0.06545439266221442,False,Lag4
X4,X6,2,0.516,0.0652043535043783,False,Lag2
X3,X4,3,0.526,0.06468595005436341,False,Lag3
X5,X2,1,0.536,0.06450716589975608,False,Lag1
X1,X6,1,0.544,0.06415777344978853,False,Lag1
X6,X1,3,0.552,0.06370924775585855,False,Lag3
X2,X6,3,0.562,0.06345578676205554,False,Lag3
X4,X6,3,0.592,0.06230894912155568,False,Lag3
X2,X4,2,0.618,0.06141575160038418,False,Lag2
X3,X1,3,0.62,0.06130508998124414,False,Lag3
X3,X1,4,0.62,0.06136209988879915,False,Lag4
X3,X4,1,0.622,0.06126712116521851,False,Lag1
X4,X2,4,0.63,0.061170649445968575,False,Lag4
X6,X6,3,0.636,0.06084185807528044,False,Lag3
X6,X1,2,0.652,0.06033117697013427,False,Lag2
X6,X2,1,0.652,0.06031840778249865,False,Lag1
X3,X1,1,0.656,0.06010890587567151,False,Lag1
X4,X2,3,0.656,0.060042500114245535,False,Lag3
X2,X2,4,0.662,0.059787600722089024,False,Lag4
X3,X2,4,0.672,0.05948110793085205,False,Lag4
X5,X3,2,0.678,0.059359445108497146,False,Lag2
X4,X4,4,0.678,0.0592810924154813,False,Lag4
X4,X4,3,0.682,0.05916639395589568,False,Lag3
X4,X1,4,0.684,0.05899026439229458,False,Lag4
X4,X2,0,0.684,0.05909503145326256,False,Simultaneous
X2,X4,0,0.684,0.05909503145326256,False,Simultaneous
X1,X6,3,0.684,0.059060471304924776,False,Lag3
X3,X6,2,0.684,0.05906494910383717,False,Lag2
X2,X2,3,0.686,0.05876228483878837,False,Lag3
X2,X6,1,0.686,0.05884333505871312,False,Lag1
X1,X1,3,0.696,0.05834659082778474,False,Lag3
X2,X1,1,0.7,0.05824338167016357,False,Lag1
X3,X5,4,0.708,0.05797062425266128,False,Lag4
X5,X5,1,0.712,0.0577198145434693,False,Lag1
X5,X5,3,0.712,0.057686386050502726,False,Lag3
X1,X6,2,0.712,0.057651174025147404,False,Lag2
X4,X6,1,0.714,0.05755487369611482,False,Lag1
X6,X3,4,0.72,0.05740283346840126,False,Lag4
X1,X2,2,0.726,0.05722818705450985,False,Lag2
X1,X1,1,0.73,0.05705893878962188,False,Lag1
X2,X5,1,0.73,0.05704183087450774,False,Lag1
X3,X6,3,0.732,0.057001176129152904,False,Lag3
X3,X3,2,0.75,0.05651974160030704,False,Lag2
X5,X6,3,0.75,0.05651251450049699,False,Lag3
X1,X5,2,0.78,0.05543107995960242,False,Lag2
X6,X5,1,0.79,0.05527365277745199,False,Lag1
X6,X5,2,0.79,0.05520506869544298,False,Lag2
X5,X1,1,0.796,0.05497857480970402,False,Lag1
X3,X4,2,0.812,0.054594058607850035,False,Lag2
X5,X2,0,0.818,0.05421561613730785,False,Simultaneous
X2,X5,0,0.818,0.05421561613730785,False,Simultaneous
X4,X3,1,0.836,0.05358856289720769,False,Lag1
X1,X3,1,0.846,0.05338955872611389,False,Lag1
X4,X3,2,0.852,0.05302256452631376,False,Lag2
X5,X5,4,0.866,0.052390029622174754,False,Lag4
X4,X5,1,0.88,0.05206056138620829,False,Lag1
X4,X2,2,0.89,0.051440662369123334,False,Lag2
X5,X4,2,0.892,0.05137517816086207,False,Lag2
X3,X2,2,0.9,0.05102725935249143,False,Lag2
X3,X5,3,0.904,0.05078812539373314,False,Lag3
X3,X5,2,0.92,0.050026428554380366,False,Lag2
X1,X5,3,0.928,0.04965995639421189,False,Lag3
X3,X2,0,0.93,0.04937673164810811,False,Simultaneous
X2,X3,0,0.93,0.04937673164810811,False,Simultaneous
X6,X5,3,0.93,0.049442052543474786,False,Lag3
X2,X5,4,0.934,0.04900058112698919,False,Lag4
X5,X3,0,0.94,0.04849623026665862,False,Simultaneous
X3,X5,0,0.94,0.04849623026665862,False,Simultaneous
X2,X2,2,0.946,0.047806250613696505,False,Lag2
X2,X5,3,0.952,0.04749841621559399,False,Lag3
X2,X6,4,0.96,0.04726933750168796,False,Lag4
X5,X6,4,0.974,0.045919819304033424,False,Lag4
X3,X6,1,0.978,0.04512935791041225,False,Lag1
X5,X6,2,0.984,0.0447013844289474,False,Lag2
X1,X1,0,1.0,0.0,False,Simultaneous
X4,X1,0,1.0,0.04198809899635137,False,Simultaneous
X2,X2,0,1.0,0.0,False,Simultaneous
X3,X3,0,1.0,0.0,False,Simultaneous
X1,X4,0,1.0,0.04198809899635137,False,Simultaneous
X4,X4,0,1.0,0.0,False,Simultaneous
X5,X5,0,1.0,0.0,False,Simultaneous
X6,X5,4,1.0,0.039696062380059065,False,Lag4
X6,X6,0,1.0,0.0,False,Simultaneous
