From,To,Lag,P_value,Value,Causal,Type,Edge_Type,Restricted_MSE,Full_MSE
X6,X2,3,0.03225806451612903,0.0003627228413326262,True,Lag3,Lagged,0.010518281333815055,0.010155558492482428
X3,X4,1,0.03225806451612903,0.00017547001003404353,True,Lag1,Lagged,0.010665393050091966,0.010489923040057922
X5,X1,1,0.03225806451612903,0.000172896324760953,True,Lag1,Lagged,0.010472487612197339,0.010299591287436386
X5,X3,2,0.03225806451612903,0.00015823788632163618,True,Lag2,Lagged,0.011406482430075327,0.01124824454375369
X3,X4,3,0.06451612903225806,0.00032627723892483633,False,Lag3,Lagged,0.01087061180983391,0.010544334570909074
X4,X2,3,0.06451612903225806,0.00023242981266093435,False,Lag3,Lagged,0.010463534601472433,0.010231104788811498
X2,X6,2,0.06451612903225806,0.00018272413672845017,False,Lag2,Lagged,0.010409500266725711,0.010226776129997261
X2,X2,2,0.06451612903225806,7.882917335445654e-05,False,Lag2,Lagged,0.010295217913966873,0.010216388740612417
X5,X6,2,0.0967741935483871,0.00021436529564470425,False,Lag2,Lagged,0.010310255642662351,0.010095890347017647
X2,X3,1,0.0967741935483871,0.0001284280288978458,False,Lag1,Lagged,0.011477686844920227,0.01134925881602238
X5,X2,2,0.0967741935483871,5.4052575508441864e-05,False,Lag2,Lagged,0.010325280644207522,0.01027122806869908
X2,X5,1,0.0967741935483871,3.301898185924766e-05,False,Lag1,Lagged,0.011259852173985993,0.011226833192126745
X2,X5,2,0.12903225806451613,0.0002864806407921819,False,Lag2,Lagged,0.011465141829740006,0.011178661188947824
X6,X2,2,0.12903225806451613,0.00022956487019824487,False,Lag2,Lagged,0.010447822198688535,0.01021825732849029
X3,X6,1,0.12903225806451613,6.654394043582e-05,False,Lag1,Lagged,0.010265255805060047,0.010198711864624227
X4,X4,3,0.12903225806451613,1.8686520449128635e-05,False,Lag3,Lagged,0.010730758547562958,0.01071207202711383
X2,X4,1,0.16129032258064516,0.0002637549254624408,False,Lag1,Lagged,0.010871385529670674,0.010607630604208234
X1,X6,1,0.16129032258064516,0.00021595768990367512,False,Lag1,Lagged,0.010464574769059357,0.010248617079155682
X5,X6,1,0.16129032258064516,0.0001752374867747264,False,Lag1,Lagged,0.010385365943749452,0.010210128456974726
X6,X1,3,0.16129032258064516,0.00015741629515250537,False,Lag3,Lagged,0.01063678247167872,0.010479366176526214
X6,X6,2,0.16129032258064516,0.00014298278716139146,False,Lag2,Lagged,0.010337436696326271,0.01019445390916488
X5,X5,1,0.16129032258064516,5.453294072510148e-05,False,Lag1,Lagged,0.011379578157367546,0.011325045216642444
