From,To,Lag,P_value,Value,Causal,Type,Edge_Type,Restricted_MSE,Full_MSE
X5,X5,1,0.03225806451612903,0.000364530998829932,True,Lag1,Lagged,0.01128407512663894,0.010919544127809008
X2,X2,2,0.03225806451612903,0.00036308780099767596,True,Lag2,Lagged,0.010709439180330634,0.010346351379332958
X3,X1,1,0.03225806451612903,0.0002551750044179832,True,Lag1,Lagged,0.010395409212627662,0.010140234208209678
X2,X5,1,0.03225806451612903,0.00015859416702861118,True,Lag1,Lagged,0.011106960959863918,0.010948366792835307
X3,X3,1,0.0967741935483871,0.0001808711823028976,False,Lag1,Lagged,0.01151784919360071,0.011336978011297813
X5,X5,2,0.12903225806451613,0.00035289419575074144,False,Lag2,Lagged,0.011201020567454742,0.010848126371704
X6,X6,1,0.12903225806451613,0.00022473825425779054,False,Lag1,Lagged,0.010527122162931437,0.010302383908673647
X3,X5,2,0.12903225806451613,0.00019906888309113163,False,Lag2,Lagged,0.011263104933220316,0.011064036050129185
X4,X6,1,0.12903225806451613,0.00014244062175739793,False,Lag1,Lagged,0.010364516471672818,0.01022207584991542
X5,X2,1,0.16129032258064516,0.0003652835881067327,False,Lag1,Lagged,0.010687404627526065,0.010322121039419332
X5,X2,2,0.16129032258064516,0.00031830083622150923,False,Lag2,Lagged,0.010767191638118607,0.010448890801897098
X5,X1,2,0.16129032258064516,0.0002485927760869488,False,Lag2,Lagged,0.010447876617712381,0.010199283841625433
X2,X5,2,0.22580645161290322,0.0002625342484055132,False,Lag2,Lagged,0.011268535496680396,0.011006001248274883
X3,X4,2,0.22580645161290322,0.00024419765345799933,False,Lag2,Lagged,0.010997921686057836,0.010753724032599837
X6,X3,2,0.22580645161290322,0.0002271988952213238,False,Lag2,Lagged,0.011624143069828665,0.011396944174607342
X4,X3,1,0.22580645161290322,0.00013115617111015068,False,Lag1,Lagged,0.011432063306165379,0.011300907135055228
X4,X4,2,0.2903225806451613,5.5040715515472516e-05,False,Lag2,Lagged,0.010836659027011938,0.010781618311496466
X2,X3,2,0.3225806451612903,0.00017845707989916533,False,Lag2,Lagged,0.011665282455865797,0.011486825375966632
