datetime,video_count,total_likes,total_comments,total_shares,total_collects,comment_count,avg_comment_likes
2023-08-24 04:00:00,5.0,19540523.0,4044290.0,4925201.0,699701.0,0.0,0.0
2023-08-24 05:00:00,0.0,0.0,0.0,0.0,0.0,5.0,1003.6
2023-08-24 06:00:00,5.0,2722632.0,299579.0,518559.0,135564.0,22.0,7424.818181818182
2023-08-24 07:00:00,0.0,0.0,0.0,0.0,0.0,11.0,14911.727272727272
2023-08-24 08:00:00,0.0,0.0,0.0,0.0,0.0,5.0,16285.2
2023-08-24 09:00:00,4.0,1028776.0,176310.0,336156.0,79980.0,21.0,9258.52380952381
2023-08-24 10:00:00,4.0,2886484.0,234012.0,1022048.0,339810.0,13.0,7716.692307692308
2023-08-24 11:00:00,0.0,0.0,0.0,0.0,0.0,10.0,4257.6
2023-08-24 12:00:00,0.0,0.0,0.0,0.0,0.0,15.0,6876.666666666667
2023-08-24 13:00:00,0.0,0.0,0.0,0.0,0.0,7.0,806.2857142857143
2023-08-24 14:00:00,0.0,0.0,0.0,0.0,0.0,6.0,9103.166666666666
2023-08-24 15:00:00,3.0,6068571.0,695151.0,384021.0,176877.0,5.0,2022.4
2023-08-24 16:00:00,0.0,0.0,0.0,0.0,0.0,8.0,4403.5
2023-08-24 17:00:00,0.0,0.0,0.0,0.0,0.0,3.0,10061.0
2023-08-24 21:00:00,0.0,0.0,0.0,0.0,0.0,3.0,2471.0
2023-08-24 22:00:00,0.0,0.0,0.0,0.0,0.0,5.0,2511.4
2023-08-24 23:00:00,0.0,0.0,0.0,0.0,0.0,3.0,5973.0
2023-08-25 00:00:00,0.0,0.0,0.0,0.0,0.0,3.0,293.0
2023-08-25 03:00:00,1.0,298074.0,21500.0,36774.0,86333.0,13.0,728.5384615384615
2023-08-25 05:00:00,0.0,0.0,0.0,0.0,0.0,4.0,162.25
2023-08-25 07:00:00,0.0,0.0,0.0,0.0,0.0,6.0,9885.5
2023-08-25 09:00:00,1.0,2090248.0,255249.0,161055.0,70538.0,3.0,150.0
2023-08-25 10:00:00,0.0,0.0,0.0,0.0,0.0,5.0,211.2
2023-08-25 12:00:00,0.0,0.0,0.0,0.0,0.0,2.0,36.0
2023-08-25 13:00:00,0.0,0.0,0.0,0.0,0.0,1.0,323.0
2023-08-25 15:00:00,0.0,0.0,0.0,0.0,0.0,1.0,45962.0
2023-08-25 23:00:00,0.0,0.0,0.0,0.0,0.0,1.0,2062.0
2023-08-26 00:00:00,0.0,0.0,0.0,0.0,0.0,1.0,2647.0
2023-08-26 01:00:00,0.0,0.0,0.0,0.0,0.0,2.0,766.0
2023-08-26 02:00:00,0.0,0.0,0.0,0.0,0.0,6.0,1444.0
2023-08-26 03:00:00,0.0,0.0,0.0,0.0,0.0,1.0,623.0
2023-08-26 04:00:00,4.0,668804.0,49612.0,196816.0,66444.0,0.0,0.0
2023-08-26 06:00:00,0.0,0.0,0.0,0.0,0.0,1.0,6726.0
2023-08-26 13:00:00,0.0,0.0,0.0,0.0,0.0,1.0,396.0
2023-08-26 15:00:00,0.0,0.0,0.0,0.0,0.0,4.0,11843.0
2023-08-26 16:00:00,0.0,0.0,0.0,0.0,0.0,4.0,6385.25
2023-08-26 17:00:00,0.0,0.0,0.0,0.0,0.0,3.0,9861.333333333334
2023-08-26 20:00:00,0.0,0.0,0.0,0.0,0.0,1.0,31471.0
2023-08-26 22:00:00,0.0,0.0,0.0,0.0,0.0,3.0,65.0
2023-08-26 23:00:00,0.0,0.0,0.0,0.0,0.0,1.0,12522.0
2023-08-27 01:00:00,0.0,0.0,0.0,0.0,0.0,10.0,2109.8
2023-08-27 02:00:00,4.0,9511864.0,384772.0,906248.0,719384.0,21.0,840.5238095238095
2023-08-27 04:00:00,0.0,0.0,0.0,0.0,0.0,11.0,3307.2727272727275
2023-08-27 10:00:00,0.0,0.0,0.0,0.0,0.0,4.0,795.0
2023-08-27 12:00:00,0.0,0.0,0.0,0.0,0.0,4.0,328.0
2023-08-28 04:00:00,0.0,0.0,0.0,0.0,0.0,3.0,3164.0
