From,To,Lag,P_value,Value,Causal,Type,Edge_Type,Restricted_MSE,Full_MSE
X4,X1,2,0.03225806451612903,0.0001474182736822885,True,Lag2,Lagged,0.010821912184192617,0.010674493910510329
X6,X5,1,0.12903225806451613,0.00016313398970637348,False,Lag1,Lagged,0.010832676764143628,0.010669542774437255
X1,X6,2,0.12903225806451613,6.069731525178666e-05,False,Lag2,Lagged,0.00986824605261221,0.009807548737360424
X6,X5,2,0.12903225806451613,1.685425402128335e-05,False,Lag2,Lagged,0.010680943935038547,0.010664089681017263
X4,X2,2,0.12903225806451613,1.0261426140563065e-05,False,Lag2,Lagged,0.009676275655045667,0.009666014228905104
X3,X1,2,0.1935483870967742,0.0001359072249819543,False,Lag2,Lagged,0.010879309283718967,0.010743402058737013
X6,X3,2,0.1935483870967742,0.00010858575036250956,False,Lag2,Lagged,0.01100837839477841,0.010899792644415901
X6,X1,2,0.1935483870967742,8.079712683755139e-06,False,Lag2,Lagged,0.010760807654315621,0.010752727941631866
X4,X4,2,0.22580645161290322,0.00011105420620274344,False,Lag2,Lagged,0.010239607762930142,0.010128553556727399
X3,X2,2,0.22580645161290322,9.487790677607973e-05,False,Lag2,Lagged,0.009827340736686715,0.009732462829910636
X5,X1,1,0.25806451612903225,0.0001851242430464875,False,Lag1,Lagged,0.010916415463726147,0.010731291220679659
X2,X5,1,0.25806451612903225,0.00010592293784178475,False,Lag1,Lagged,0.010809464631252305,0.01070354169341052
X2,X1,2,0.25806451612903225,7.47231463974693e-05,False,Lag2,Lagged,0.010802350608003613,0.010727627461606144
X3,X4,2,0.2903225806451613,0.00012254417212410537,False,Lag2,Lagged,0.010336357594805104,0.010213813422680998
X1,X1,2,0.2903225806451613,8.67275095905503e-05,False,Lag2,Lagged,0.010795528731778739,0.010708801222188188
X5,X5,1,0.2903225806451613,2.8534130219495107e-05,False,Lag1,Lagged,0.010654411189161024,0.01062587705894153
X3,X6,1,0.3548387096774194,6.86600590550264e-05,False,Lag1,Lagged,0.009863366371253323,0.009794706312198297
X3,X3,1,0.3870967741935484,1.8653361988760567e-05,False,Lag1,Lagged,0.01097170961702599,0.01095305625503723
X2,X3,1,0.3870967741935484,8.08619744845085e-06,False,Lag1,Lagged,0.010924009735287801,0.01091592353783935
X6,X6,1,0.3870967741935484,5.6513654283704695e-06,False,Lag1,Lagged,0.009854273032490707,0.009848621667062336
X5,X6,2,0.41935483870967744,6.326721398281984e-05,False,Lag2,Lagged,0.00984716897491462,0.0097839017609318
X3,X2,1,0.41935483870967744,1.3426202957505379e-05,False,Lag1,Lagged,0.00967544844416003,0.009662022241202524
X2,X5,2,0.45161290322580644,9.746245410943016e-05,False,Lag2,Lagged,0.010826824128403094,0.010729361674293664
X5,X3,1,0.45161290322580644,4.6065169373187e-05,False,Lag1,Lagged,0.011020769493210176,0.010974704323836989
