From,To,Lag,P_value,Value,Causal,Type,Edge_Type,Graph
X1,X1,0,0.0,0.0,True,Simultaneous,Simultaneous,
X2,X2,0,0.0,0.0,True,Simultaneous,Simultaneous,
X3,X3,0,0.0,0.0,True,Simultaneous,Simultaneous,
X4,X4,0,0.0,0.0,True,Simultaneous,Simultaneous,
X5,X5,0,0.0,0.0,True,Simultaneous,Simultaneous,
X6,X6,0,0.0,0.0,True,Simultaneous,Simultaneous,
X2,X6,1,0.013972055888223553,0.05975125303527262,True,Lag1,Lagged,<->
X1,X5,3,0.09181636726546906,0.028917899852646478,False,Lag3,Lagged,o->
X6,X5,3,0.09181636726546906,0.04397674690826703,False,Lag3,Lagged,o->
X5,X6,3,0.13572854291417166,0.029060709709456845,False,Lag3,Lagged,<->
X3,X4,2,0.1536926147704591,0.04041564734670322,False,Lag2,Lagged,o->
X6,X3,0,0.20758483033932135,0.0319036726932147,False,Simultaneous,Simultaneous,
X3,X6,0,0.20758483033932135,0.0319036726932147,False,Simultaneous,Simultaneous,
X2,X5,1,0.21357285429141717,0.03286703617552389,False,Lag1,Lagged,
X6,X6,3,0.2215568862275449,0.03398982656274008,False,Lag3,Lagged,
X6,X3,1,0.22954091816367264,0.03134786861472039,False,Lag1,Lagged,
X5,X1,1,0.23552894211576847,0.03262766910229731,False,Lag1,Lagged,
X1,X4,3,0.2435129740518962,0.02842074776090353,False,Lag3,Lagged,
X3,X4,1,0.24550898203592814,0.030795956093492727,False,Lag1,Lagged,
X2,X4,2,0.25149700598802394,0.031837646801342157,False,Lag2,Lagged,
X6,X2,2,0.25349301397205587,0.03246750003275123,False,Lag2,Lagged,
X3,X6,1,0.25748502994011974,0.03152702302330823,False,Lag1,Lagged,
X6,X1,1,0.27345309381237526,0.029254972548649505,False,Lag1,Lagged,
X6,X4,0,0.2774451097804391,0.029087339836553205,False,Simultaneous,Simultaneous,
X4,X6,0,0.2774451097804391,0.029087339836553205,False,Simultaneous,Simultaneous,
X4,X4,3,0.2834331337325349,0.029876097516069233,False,Lag3,Lagged,
X4,X1,3,0.29740518962075846,0.02650252888809046,False,Lag3,Lagged,
X6,X1,2,0.31137724550898205,0.02900380333474839,False,Lag2,Lagged,
X4,X3,0,0.3213572854291417,0.03031096580610937,False,Simultaneous,Simultaneous,
X1,X4,2,0.3213572854291417,0.024176729801658414,False,Lag2,Lagged,
X3,X4,0,0.3213572854291417,0.03031096580610937,False,Simultaneous,Simultaneous,
X6,X5,0,0.3213572854291417,0.02587768496430165,False,Simultaneous,Simultaneous,
X5,X6,0,0.3213572854291417,0.02587768496430165,False,Simultaneous,Simultaneous,
X3,X3,3,0.3253493013972056,0.02749703938096859,False,Lag3,Lagged,
X3,X5,2,0.3273453093812375,0.027770168877111256,False,Lag2,Lagged,
X6,X5,2,0.3313373253493014,0.026558158591498682,False,Lag2,Lagged,
X3,X2,0,0.3333333333333333,0.029019394227329354,False,Simultaneous,Simultaneous,
X2,X3,0,0.3333333333333333,0.029019394227329354,False,Simultaneous,Simultaneous,
X1,X1,2,0.3393213572854291,0.027342059978501698,False,Lag2,Lagged,
X4,X3,2,0.34930139720558884,0.026385718484915888,False,Lag2,Lagged,
X2,X1,0,0.36926147704590817,0.025808902560792824,False,Simultaneous,Simultaneous,
X1,X2,0,0.36926147704590817,0.025808902560792824,False,Simultaneous,Simultaneous,
X4,X6,2,0.3712574850299401,0.026339049602388087,False,Lag2,Lagged,
X5,X2,3,0.37524950099800397,0.023966589612951505,False,Lag3,Lagged,
X6,X2,1,0.38323353293413176,0.025020777048503806,False,Lag1,Lagged,
X5,X3,3,0.38323353293413176,0.025283921542927246,False,Lag3,Lagged,
X3,X2,3,0.38922155688622756,0.023481888574192755,False,Lag3,Lagged,
X1,X2,3,0.3912175648702595,0.024222379048661313,False,Lag3,Lagged,
X6,X5,1,0.3912175648702595,0.025427362892779026,False,Lag1,Lagged,
X5,X2,0,0.3992015968063872,0.02201345762035878,False,Simultaneous,Simultaneous,
X2,X5,0,0.3992015968063872,0.02201345762035878,False,Simultaneous,Simultaneous,
X1,X2,1,0.4031936127744511,0.023231684688487686,False,Lag1,Lagged,
X1,X6,2,0.4111776447105788,0.02067333581989006,False,Lag2,Lagged,
X1,X3,3,0.4151696606786427,0.01993337896724645,False,Lag3,Lagged,
X5,X4,0,0.4151696606786427,0.023829353817443,False,Simultaneous,Simultaneous,
X4,X5,0,0.4151696606786427,0.023829353817443,False,Simultaneous,Simultaneous,
X2,X3,3,0.42115768463073855,0.02214725756974012,False,Lag3,Lagged,
X6,X4,3,0.4311377245508982,0.021495320372383997,False,Lag3,Lagged,
X3,X5,1,0.43313373253493015,0.021461256460727718,False,Lag1,Lagged,
X4,X4,2,0.437125748502994,0.023585966623205668,False,Lag2,Lagged,
X2,X1,3,0.4411177644710579,0.022603468354217338,False,Lag3,Lagged,
X4,X1,2,0.4471057884231537,0.02057363835109971,False,Lag2,Lagged,
X5,X5,2,0.45109780439121755,0.021436028379815397,False,Lag2,Lagged,
X3,X1,0,0.46506986027944114,0.020131804521182683,False,Simultaneous,Simultaneous,
X1,X3,0,0.46506986027944114,0.020131804521182683,False,Simultaneous,Simultaneous,
X2,X3,1,0.47105788423153694,0.019520186144437623,False,Lag1,Lagged,
X5,X3,2,0.47904191616766467,0.016567387721006188,False,Lag2,Lagged,
X2,X5,3,0.48502994011976047,0.019654392174621282,False,Lag3,Lagged,
X2,X4,1,0.48902195608782434,0.020449088646056435,False,Lag1,Lagged,
X4,X5,2,0.5129740518962076,0.020341828263658268,False,Lag2,Lagged,
X6,X2,3,0.5189620758483033,0.017922927763335927,False,Lag3,Lagged,
X1,X6,3,0.5189620758483033,0.011964303381809316,False,Lag3,Lagged,
X5,X1,3,0.5209580838323353,0.017839665138347005,False,Lag3,Lagged,
X2,X2,3,0.5229540918163673,0.019355889127574688,False,Lag3,Lagged,
X5,X6,1,0.5369261477045908,0.010180563647335994,False,Lag1,Lagged,
X1,X1,3,0.5389221556886228,0.017634617752852133,False,Lag3,Lagged,
X6,X1,3,0.5508982035928144,0.01839629842990842,False,Lag3,Lagged,
X5,X5,3,0.5548902195608783,0.016881402811041557,False,Lag3,Lagged,
X6,X6,1,0.5548902195608783,0.018439124357915393,False,Lag1,Lagged,
X4,X1,0,0.5588822355289421,0.01667685599602642,False,Simultaneous,Simultaneous,
X1,X4,0,0.5588822355289421,0.01667685599602642,False,Simultaneous,Simultaneous,
X3,X5,3,0.5588822355289421,0.01649422663915079,False,Lag3,Lagged,
X3,X6,2,0.5608782435129741,0.016806133246175747,False,Lag2,Lagged,
X1,X5,2,0.562874251497006,0.01725122736855278,False,Lag2,Lagged,
X6,X1,0,0.5668662674650699,0.01653560329873871,False,Simultaneous,Simultaneous,
X1,X6,0,0.5668662674650699,0.01653560329873871,False,Simultaneous,Simultaneous,
X4,X5,3,0.5968063872255489,0.01695338674348612,False,Lag3,Lagged,
X3,X6,3,0.5988023952095808,0.010507870696626842,False,Lag3,Lagged,
X6,X3,3,0.6007984031936128,0.015094481498868273,False,Lag3,Lagged,
X3,X4,3,0.6007984031936128,0.0153318319175213,False,Lag3,Lagged,
X5,X4,1,0.6027944111776448,0.010593908168598176,False,Lag1,Lagged,
X1,X4,1,0.6047904191616766,0.015585814433962675,False,Lag1,Lagged,
X5,X6,2,0.6067864271457086,0.01671001350575274,False,Lag2,Lagged,
X3,X3,1,0.6227544910179641,0.0146716619599907,False,Lag1,Lagged,
X4,X5,1,0.6227544910179641,0.014574627688445307,False,Lag1,Lagged,
X1,X2,2,0.624750499001996,0.012386008623744171,False,Lag2,Lagged,
X2,X1,1,0.6287425149700598,0.013022927378707472,False,Lag1,Lagged,
X4,X2,0,0.6387225548902196,0.01281790554195883,False,Simultaneous,Simultaneous,
X2,X4,0,0.6387225548902196,0.01281790554195883,False,Simultaneous,Simultaneous,
X5,X3,1,0.6447105788423154,0.013245240507393063,False,Lag1,Lagged,
X4,X6,3,0.6726546906187625,0.012749554445241174,False,Lag3,Lagged,
X1,X1,1,0.6806387225548902,0.013135090515719039,False,Lag1,Lagged,
X5,X5,1,0.6846307385229541,0.007993750369886143,False,Lag1,Lagged,
X4,X1,1,0.6906187624750499,0.011168330077835797,False,Lag1,Lagged,
X5,X1,2,0.6946107784431138,0.009714427182504703,False,Lag2,Lagged,
X2,X3,2,0.7045908183632734,0.00912398562023764,False,Lag2,Lagged,
X2,X4,3,0.720558882235529,0.010266823084031262,False,Lag3,Lagged,
X3,X2,2,0.7385229540918163,0.007315524161838116,False,Lag2,Lagged,
X1,X3,1,0.7524950099800399,0.008091553269214735,False,Lag1,Lagged,
X4,X3,3,0.7624750499001997,0.008901878225898052,False,Lag3,Lagged,
X5,X2,1,0.7644710578842315,0.008529541035153354,False,Lag1,Lagged,
X6,X4,1,0.7944111776447106,0.004300950796741532,False,Lag1,Lagged,
X3,X3,2,0.7964071856287425,0.0054653453747590675,False,Lag2,Lagged,
X6,X4,2,0.7964071856287425,0.006610397288051129,False,Lag2,Lagged,
X5,X2,2,0.8083832335329342,0.0052868556832530444,False,Lag2,Lagged,
X3,X1,2,0.8143712574850299,0.004473019732895267,False,Lag2,Lagged,
X2,X1,2,0.8203592814371258,0.0033742885261336397,False,Lag2,Lagged,
X4,X2,2,0.8203592814371258,0.0032042548765902623,False,Lag2,Lagged,
X6,X6,2,0.8263473053892215,0.0011484658126623692,False,Lag2,Lagged,
X6,X3,2,0.8283433133732535,0.0054656299520137175,False,Lag2,Lagged,
X4,X6,1,0.8363273453093812,0.0039005445836797215,False,Lag1,Lagged,
X3,X2,1,0.8403193612774451,0.0026514517320501696,False,Lag1,Lagged,
X5,X4,3,0.8423153692614771,0.0033395837133900486,False,Lag3,Lagged,
X5,X1,0,0.8483033932135728,0.0020320076585629288,False,Simultaneous,Simultaneous,
X1,X5,0,0.8483033932135728,0.0020320076585629288,False,Simultaneous,Simultaneous,
X3,X1,3,0.8642714570858283,0.0013146679278874807,False,Lag3,Lagged,
X6,X2,0,0.8642714570858283,0.001408771022606281,False,Simultaneous,Simultaneous,
X2,X6,0,0.8642714570858283,0.001408771022606281,False,Simultaneous,Simultaneous,
X2,X5,2,0.874251497005988,-0.001860823825245106,False,Lag2,Lagged,
X4,X3,1,0.8862275449101796,-0.00045352809031440344,False,Lag1,Lagged,
X4,X2,3,0.8902195608782435,5.080318600647615e-05,False,Lag3,Lagged,
X5,X4,2,0.9001996007984032,-0.0010267268204007252,False,Lag2,Lagged,
X1,X5,1,0.9041916167664671,0.0009061412652346945,False,Lag1,Lagged,
X2,X6,3,0.9241516966067864,-0.003196662568018205,False,Lag3,Lagged,
X2,X2,2,0.9321357285429142,-0.0014672462310567624,False,Lag2,Lagged,
X4,X4,1,0.9600798403193613,-0.009273290006761581,False,Lag1,Lagged,
X2,X6,2,0.9640718562874252,-0.006820379818899713,False,Lag2,Lagged,
X2,X2,1,0.9680638722554891,-0.007153228364921382,False,Lag1,Lagged,
X1,X6,1,0.9680638722554891,-0.00816285876075229,False,Lag1,Lagged,
X3,X1,1,0.9720558882235529,-0.006688972587444386,False,Lag1,Lagged,
X5,X3,0,0.9740518962075848,-0.00790379075026637,False,Simultaneous,Simultaneous,
X3,X5,0,0.9740518962075848,-0.00790379075026637,False,Simultaneous,Simultaneous,
X4,X2,1,0.9760479041916168,-0.010045095111336444,False,Lag1,Lagged,
X1,X3,2,0.9820359281437125,-0.015535094074929479,False,Lag2,Lagged,
