cause,effect,lag,effect_size,std_error,ci_lower,ci_upper,t_statistic,p_value,r_squared,n_observations,neg_log_p
X2,X1,3,4.881807752934034e-07,2.757121085286997e-07,-6.313965958926891e-08,1.0395012101760756e-06,1.7706178299477449,0.081620665914649,0.048882563694048864,63,1.0881998662905386
X4,X1,1,2.14426253285173e-06,1.2256981794606506e-06,-3.050998320583509e-07,4.593624897761812e-06,1.7494213247467492,0.08508807112590566,0.04632838278562179,65,1.070131321317601
X5,X1,3,7.060365644717477e-06,5.15897712478895e-06,-3.255646688459887e-06,1.737637797789484e-05,1.3685592073654158,0.17615644408731868,0.029789506868195703,63,0.7541014649983586
X6,X1,1,0.008379645642820942,0.0021968656953677695,0.003989559857294509,0.012769731428347374,3.814364100859673,0.00031341522624295237,0.18761432669815703,65,3.503879908592814
X6,X1,2,0.006041689398864496,0.0023356866200543317,0.0013727183726599248,0.010710660425069067,2.586686650079777,0.012050983312369645,0.09740654391141623,64,1.9189775149386585
X7,X1,2,0.004423775862234342,0.001679862019883286,0.0010657795319414937,0.00778177219252719,2.633416203160363,0.010658402400087974,0.10060046247445331,64,1.9723078873190971
X7,X2,1,1683.8862340665871,766.3449829083087,152.46798516354966,3215.3044829696246,2.197295306450855,0.03168433528585157,0.07118150426468006,65,1.4991553996233193
X2,X4,2,0.15461638210880854,0.02017503911923145,0.1142870535544307,0.1949457106631864,7.663746335015707,1.517408421136679e-10,0.48647017841393314,64,9.818897510068286
X4,X4,2,0.5957032434633559,0.10203555204545989,0.3917370811997047,0.7996694057270071,5.838192978050947,2.0861151650564125e-07,0.35473461614361623,64,6.6806617197983105
X7,X4,2,696.052339791809,154.29200193116603,387.62702262534907,1004.4776569582689,4.511266501696811,2.931883352030873e-05,0.24712991457399802,64,4.5328533125360515
X7,X5,2,173.92703626376485,37.257864649495176,99.44962604393919,248.4044464835905,4.668196578091371,1.6738919302650146e-05,0.26007308420287933,64,4.7762725843383445
X4,X1,3,1.7273865974483622e-06,1.256054889050209e-06,-7.842503827446373e-07,4.239023577641361e-06,1.3752477001658423,0.1740845292736617,0.030072618140413954,63,0.7592398225048392
X7,X3,2,655.6531179193267,113.37014732055191,429.0294225436655,882.276813294988,5.783295985895477,2.5791557023424616e-07,0.35042152508532154,64,6.588522438929532
X3,X1,1,2.4197586484074097e-06,1.5569654092895132e-06,-6.915884522782235e-07,5.531105749093043e-06,1.5541505507894444,0.1251581051594981,0.0369237905404165,65,0.9025410205098915
X1,X4,1,5359.299055204186,12628.607656799248,-19876.95962096561,30595.557731373978,0.42437766702798285,0.6727361309015816,0.0028505243664034285,65,0.17215524686781164
X4,X5,1,0.018760855457656194,0.03059797656075102,-0.04238432162279192,0.07990603253810431,0.6131403957515716,0.5419907999095916,0.005931922084483343,65,0.26600808538487625
X3,X7,2,0.00010151556548087402,0.00011399117579319115,-0.0001263495481228598,0.0003293806790846079,0.8905563503007369,0.3766100723851,0.012630221021419308,64,0.42410806901725123
X2,X1,2,1.7768695197595465e-06,1.665080923417403e-07,1.444024585812844e-06,2.109714453706249e-06,10.671370350653644,1.1102230246251565e-15,0.6474832052424031,64,14.954589770191003
X1,X6,3,11.535539215686276,6.446564115974639,-1.3551624327986644,24.426240864171216,1.7894089018832706,0.07851337073538311,0.049873602150047325,63,1.1050563771131034
X2,X7,2,1.8841588519110352e-05,1.9973156200676454e-05,-2.108418183130049e-05,5.876735886952119e-05,0.9433455749208141,0.34916576026798474,0.014150139551174279,64,0.4569683504640223
X3,X1,3,2.783319999583555e-06,1.5720658564008606e-06,-3.602199640408731e-07,5.9268599632079835e-06,1.770485624537244,0.08164288453353352,0.04887562097699849,63,1.0880816595798535
X1,X3,2,7981.43670994983,10037.177187584208,-12082.594599448195,28045.468019347856,0.7951873879264293,0.4295382493168838,0.010095793223249827,64,0.3669981572631644
X6,X3,3,-46.02484638964413,196.86230006720785,-439.6753446003838,347.6256518210955,-0.2337920788994717,0.8159292485710787,0.000895242677423469,63,0.08834749846101313
X1,X4,2,10681.56133105666,12680.737664981918,-14666.872076214548,36029.99473832787,0.8423454228971222,0.40283232880590636,0.011314797488868211,64,0.3948756829580265
X1,X5,2,5307.489832206028,3032.3750578485297,-754.1415373956261,11369.121201807682,1.7502748607791585,0.08501804478176322,0.04708421577872879,64,1.0704888870218623
X6,X6,3,0.2711892309207097,0.12323779995657531,0.024760019564653374,0.517618442276766,2.200536126223182,0.031565018888687346,0.07354474077934647,63,1.5007939464522544
X5,X1,1,1.055229753956542e-05,4.978167217770487e-06,6.042241608469767e-07,2.0500370918283864e-05,2.1197153647023037,0.03797621730527756,0.06657253883690761,65,1.4204882961882397
X5,X4,2,1.9438189601880935,0.4594304367672339,1.0254306030321882,2.862207317343999,4.230932051140772,7.814089632951493e-05,0.22403767112607031,64,4.107121611427978
X2,X1,1,4.1813289714770796e-07,2.7311935735451484e-07,-1.2765258760102935e-07,9.639183818964453e-07,1.5309529913874336,0.13078729871822437,0.03586899521985487,65,0.8834344300516963
X5,X5,1,0.09223420718334159,0.12545111303733306,-0.15845983810351338,0.34292825247019654,0.7352203177017136,0.4649335849432279,0.008507148974739587,65,0.3326090809868465
X3,X1,2,1.0118675557165637e-05,9.520570261822252e-07,8.215540679235867e-06,1.2021810435095407e-05,10.628224233312793,1.3322676295501878e-15,0.6456315667131252,64,14.875408524143378
X5,X6,3,0.0007761337557944794,0.0002515438244077841,0.0002731407918488487,0.0012791267197401102,3.085481258074018,0.0030535311405743837,0.13499955082009918,63,2.515197646615993
X7,X7,1,0.3046143105612992,0.11999026084561583,0.06483290760586602,0.5443957135167323,2.538658624579772,0.013610919715485226,0.09280448301098099,65,1.8661125277088755
X2,X3,3,0.0029014647222564737,0.0224532668539736,-0.041996617239134254,0.04779954668364721,0.12922238626238014,0.8976068259955192,0.00027366975831844,63,0.0469138534130971
X1,X6,2,29.16129928920302,5.417418438495097,18.332034134799876,39.99056444360616,5.3828774018984085,1.1924617799863313e-06,0.31849685692856955,64,5.923555531790606
X1,X7,1,3.0174622476934547,9.032903333437677,-15.0333547001858,21.06827919557271,0.3340523125630628,0.7394495396068748,0.0017681529787691996,65,0.1310914571207815
X6,X4,1,220.15731061393566,243.08547189790664,-265.6102431774374,705.9248644053088,0.905678603065178,0.36855677542614274,0.012852561437532328,65,0.4334956004644036
X5,X7,3,0.0002674294404852373,0.0003739934284847125,-0.00048041663974591196,0.0010152755207163866,0.7150645442321424,0.47729710604766407,0.008312572788907069,63,0.32121119884419097
X1,X1,3,0.080717383107089,0.1276568633125959,-0.174548291559253,0.33598305777343096,0.6322995960619425,0.5295540721432221,0.006511466830243062,63,0.27608968799377176
X4,X1,2,6.755929217825542e-06,9.299642281048595e-07,4.896957213983995e-06,8.614901221667088e-06,7.2647194522666805,7.478169194996553e-10,0.45981808336177676,64,9.126204713075607
X7,X2,2,3680.311317158885,652.022558446357,2376.9367943613856,4983.685839956384,5.644453967863245,4.400725885922441e-07,0.33944074062382845,64,6.356475682093455
X1,X4,3,-4034.694947209652,12849.545315631574,-29728.94881680779,21659.558922388485,-0.3139951529881305,0.7545960473236855,0.0016136698298571117,63,0.12228547402239155
X5,X4,1,0.053839949125537696,0.5171749189467272,-0.9796516589805853,1.0873315572316606,0.10410394462900009,0.9174175716936488,0.00017199630563102808,65,0.037432945895221975
X1,X5,3,312.6743966817499,3131.625511846835,-5949.39783617903,6574.74662954253,0.09984412104797112,0.9207954963542822,0.00016339704307288816,63,0.03583681352386291
X2,X6,3,4.93059117610119e-05,1.3163124835334912e-05,2.2984616888043583e-05,7.562720663398022e-05,3.7457604009540186,0.0004010809322503306,0.18699968223471786,63,3.396767984279396
X5,X7,1,0.0002683031066624101,0.0003682041124201054,-0.0004674940991095513,0.0010041003124343715,0.7286803639941086,0.46889734376581815,0.008357735297806146,65,0.3289222274682636
