From,To,Lag,P_value,Value,Causal,Type
X6,X6,2,0.040977269179852754,0.03734747658753354,True,Lag2
X6,X3,0,0.04652972863539031,-0.03637588390703567,True,Simultaneous
X3,X6,0,0.04652972863539031,-0.03637588390703567,True,Simultaneous
X6,X5,0,0.0530552575245002,-0.03535162272734263,False,Simultaneous
X5,X6,0,0.0530552575245002,-0.03535162272734263,False,Simultaneous
X1,X1,2,0.06848715243828085,0.033326977985602343,False,Lag2
X1,X4,2,0.07888647265421685,0.03213500749387722,False,Lag2
X1,X3,1,0.08663990221497077,-0.03132412876009413,False,Lag1
X4,X5,2,0.08675324769739694,-0.031302408645745634,False,Lag2
X2,X4,1,0.0868015029268511,0.03130807898638009,False,Lag1
X4,X1,2,0.13959421839403452,0.02701866567438819,False,Lag2
X1,X2,1,0.15742603972610833,-0.025852970511675365,False,Lag1
X2,X2,1,0.174329010217382,0.02483685597446228,False,Lag1
X3,X4,1,0.18278771301684932,-0.024353827229691406,False,Lag1
X2,X1,0,0.18934732730572518,0.02400568899058657,False,Simultaneous
X1,X2,0,0.18934732730572518,0.02400568899058657,False,Simultaneous
X6,X5,2,0.19316215438768947,0.023784427409086716,False,Lag2
X5,X1,2,0.20064240122873622,0.023402237456570947,False,Lag2
X6,X3,1,0.20304260486025405,-0.023266385404871637,False,Lag1
X3,X5,1,0.21062128417512418,0.022877518057167222,False,Lag1
X1,X2,2,0.25930255220232545,0.02063596238294403,False,Lag2
X3,X2,1,0.2626586189252592,-0.02047755762119346,False,Lag1
X3,X1,2,0.272607563347615,0.020062925975068903,False,Lag2
X6,X5,1,0.272885963298198,-0.020041233421167738,False,Lag1
X3,X4,2,0.2822227584047722,-0.019658895899301154,False,Lag2
X4,X4,1,0.28815147062751545,-0.019424959434031303,False,Lag1
X5,X3,1,0.313659985376468,0.018414063089824746,False,Lag1
X6,X2,0,0.3227677310848288,-0.01807985808985453,False,Simultaneous
X2,X6,0,0.3227677310848288,-0.01807985808985453,False,Simultaneous
X5,X6,1,0.3274849115618793,-0.0178984809588638,False,Lag1
X5,X1,1,0.3326184448541699,-0.017718403975604285,False,Lag1
X2,X6,1,0.3449652240967134,-0.017268385782105596,False,Lag1
X2,X1,1,0.34732639809353494,-0.017192687238687745,False,Lag1
X3,X2,2,0.3477776266450847,0.017165120534019324,False,Lag2
X2,X5,2,0.3525770676971737,-0.016995004758148753,False,Lag2
X3,X3,2,0.37929909278506413,-0.016068092233203775,False,Lag2
X4,X3,0,0.3845826382141627,0.01589605961297723,False,Simultaneous
X3,X4,0,0.3845826382141627,0.01589605961297723,False,Simultaneous
X4,X4,2,0.40188241852832174,-0.015330490194552902,False,Lag2
X4,X1,0,0.41144652141665894,0.015023720764242927,False,Simultaneous
X1,X4,0,0.41144652141665894,0.015023720764242927,False,Simultaneous
X3,X1,0,0.4351263461842588,-0.014273267280190335,False,Simultaneous
X1,X3,0,0.4351263461842588,-0.014273267280190335,False,Simultaneous
X3,X6,1,0.43816893370243704,0.014171789949204355,False,Lag1
X4,X3,2,0.45564527417832257,-0.013639406021909852,False,Lag2
X6,X2,2,0.46496954226735066,-0.01336105905026317,False,Lag2
X3,X1,1,0.472864679795599,-0.013128076252801539,False,Lag1
X5,X5,2,0.47394371197050245,0.013087345970494626,False,Lag2
X6,X6,1,0.4830524862072195,0.012823433619605423,False,Lag1
X6,X1,2,0.4864478833591013,0.01273051649281768,False,Lag2
X4,X6,2,0.48887604812444185,-0.012655462946063678,False,Lag2
X5,X3,0,0.5003705758710781,-0.01231668189111003,False,Simultaneous
X3,X5,0,0.5003705758710781,-0.01231668189111003,False,Simultaneous
X6,X3,2,0.5026285310074903,-0.012253904681110178,False,Lag2
X4,X2,1,0.5105583564038064,0.012033448779119684,False,Lag1
X4,X2,0,0.524615195457472,-0.011636222669942365,False,Simultaneous
X2,X4,0,0.524615195457472,-0.011636222669942365,False,Simultaneous
X2,X4,2,0.5258211948028768,-0.011602399681391448,False,Lag2
X4,X3,1,0.5300800903545158,-0.011479432930495774,False,Lag1
X2,X3,2,0.5391229416804804,0.011228171986937624,False,Lag2
X6,X4,1,0.5446621189941443,-0.011077157574017539,False,Lag1
X6,X2,1,0.5649188566100831,0.010524457411287314,False,Lag1
X5,X4,2,0.5818462221043086,0.01006819579032393,False,Lag2
X5,X4,1,0.5826074633094562,0.010047903826873409,False,Lag1
X4,X2,2,0.6071799958897157,-0.009402454445099276,False,Lag2
X1,X3,2,0.6081949726195715,0.009375913365990692,False,Lag2
X4,X5,1,0.6482584281772334,0.00834040203124371,False,Lag1
X5,X2,0,0.6576248332705398,-0.008102947578672592,False,Simultaneous
X2,X5,0,0.6576248332705398,-0.008102947578672592,False,Simultaneous
X4,X6,1,0.666226353246876,-0.007887400507018031,False,Lag1
X5,X5,1,0.6829599601290782,-0.007464816355763735,False,Lag1
X5,X2,2,0.6918648307588962,0.007246060202985938,False,Lag2
X2,X3,1,0.7147729855380014,0.006681633553787055,False,Lag1
X6,X1,0,0.7167272672502827,0.0066371122608736635,False,Simultaneous
X1,X6,0,0.7167272672502827,0.0066371122608736635,False,Simultaneous
X5,X4,0,0.733723401777524,0.00621950701644503,False,Simultaneous
X4,X5,0,0.733723401777524,0.00621950701644503,False,Simultaneous
X3,X3,1,0.752320752272442,0.005767893791835008,False,Lag1
X5,X1,0,0.7574735266994614,-0.005647741488997656,False,Simultaneous
X1,X5,0,0.7574735266994614,-0.005647741488997656,False,Simultaneous
X5,X6,2,0.7602672388406356,0.005577817106087758,False,Lag2
X5,X3,2,0.7616246270372684,0.005544319434828836,False,Lag2
X6,X4,2,0.7717515363940881,0.00530456375965045,False,Lag2
X1,X5,2,0.8009894216882825,0.004610139636191567,False,Lag2
X1,X6,2,0.8126572885091572,-0.0043352934069961924,False,Lag2
X5,X2,1,0.8364043882354831,0.003775401705352451,False,Lag1
X4,X1,1,0.8395728334623536,0.003703741588457545,False,Lag1
X6,X4,0,0.8748761034575006,-0.0028795142505471665,False,Simultaneous
X4,X6,0,0.8748761034575006,-0.0028795142505471665,False,Simultaneous
X2,X5,1,0.8997038549242393,0.0023043458942514456,False,Lag1
