From,To,Lag,P_value,Correlation,Causal,Type
X1,X5,4,0.002,0.06453146418385111,True,Lag4
X5,X4,3,0.016,0.04920686435508305,True,Lag3
X4,X6,4,0.022,0.0477072045622077,True,Lag4
X6,X6,2,0.022,0.047741481738910754,True,Lag2
X2,X1,0,0.034,0.044645887812978034,True,Simultaneous
X1,X2,0,0.034,0.044645887812978034,True,Simultaneous
X2,X2,3,0.038,0.04359801743722297,True,Lag3
X2,X5,4,0.038,0.04396499719406872,True,Lag4
X5,X6,1,0.046,0.04225644072937959,True,Lag1
X2,X5,2,0.054,0.041645742740825144,False,Lag2
X1,X1,1,0.08,0.03997033880339829,False,Lag1
X1,X2,4,0.082,0.03957054411621117,False,Lag4
X2,X2,1,0.082,0.03945768654712256,False,Lag1
X6,X4,3,0.082,0.03952193452911426,False,Lag3
X6,X2,0,0.086,0.038759608370164754,False,Simultaneous
X4,X3,4,0.086,0.03884116230120986,False,Lag4
X1,X4,2,0.086,0.03899214669966015,False,Lag2
X2,X6,0,0.086,0.038759608370164754,False,Simultaneous
X3,X5,3,0.102,0.0381003819078341,False,Lag3
X3,X4,2,0.11,0.03761950081365732,False,Lag2
X1,X3,1,0.114,0.03725361466718825,False,Lag1
X3,X1,4,0.12,0.03679624381984968,False,Lag4
X2,X3,3,0.13,0.036317563865809234,False,Lag3
X3,X4,3,0.13,0.03629813926754157,False,Lag3
X1,X1,2,0.132,0.03603503239176551,False,Lag2
X3,X3,4,0.132,0.03606944533796828,False,Lag4
X2,X4,2,0.132,0.0361489971956783,False,Lag2
X5,X1,0,0.144,0.03554962422301813,False,Simultaneous
X4,X4,3,0.144,0.035393076590336456,False,Lag3
X1,X5,0,0.144,0.03554962422301813,False,Simultaneous
X6,X5,1,0.144,0.03554055146302564,False,Lag1
X4,X1,4,0.21,0.03351635411754218,False,Lag4
X6,X3,1,0.214,0.033355177395099224,False,Lag1
X5,X1,2,0.23,0.032959778546645585,False,Lag2
X5,X5,3,0.23,0.03292112135593939,False,Lag3
X5,X3,0,0.236,0.032626197329501755,False,Simultaneous
X6,X4,4,0.236,0.032612939213202644,False,Lag4
X3,X5,0,0.236,0.032626197329501755,False,Simultaneous
X1,X6,4,0.248,0.032464812549564216,False,Lag4
