datetime,video_count,total_likes,total_comments,total_shares,total_collects,comment_count,avg_comment_likes
2023-08-15 00:00:00,0.0,0.0,0.0,0.0,0.0,6,14.5
2023-08-15 12:00:00,1.0,182823.0,12128.0,72222.0,27667.0,3,93.0
2023-08-16 00:00:00,0.0,0.0,0.0,0.0,0.0,8,56.125
2023-08-18 12:00:00,0.0,0.0,0.0,0.0,0.0,1,28.0
2023-08-19 00:00:00,0.0,0.0,0.0,0.0,0.0,3,0.0
2023-08-19 12:00:00,0.0,0.0,0.0,0.0,0.0,3,2.0
2023-08-20 00:00:00,3.0,690855.0,119379.0,559530.0,98604.0,3,0.0
2023-08-20 12:00:00,0.0,0.0,0.0,0.0,0.0,2,25.0
2023-08-22 00:00:00,11.0,19093653.0,3006486.0,4653381.0,600720.0,230,5855.795652173913
2023-08-22 12:00:00,0.0,0.0,0.0,0.0,0.0,300,3277.3166666666666
2023-08-23 00:00:00,13.0,38641494.0,6707172.0,6395578.0,1502086.0,480,2357.991666666667
2023-08-23 12:00:00,4.0,180097.0,52473.0,26911.0,12072.0,682,784.6304985337243
2023-08-24 00:00:00,111.0,33408455.0,6284615.0,9329686.0,2401343.0,4642,867.233735458854
2023-08-24 12:00:00,37.0,8513305.0,978854.0,1143146.0,506924.0,2963,472.8990887613905
2023-08-25 00:00:00,30.0,2297976.0,166751.0,253583.0,338700.0,2970,422.9299663299663
2023-08-25 12:00:00,9.0,2057525.0,84704.0,163768.0,158287.0,1168,862.5642123287671
2023-08-26 00:00:00,14.0,895538.0,62265.0,212676.0,83884.0,803,439.24408468244087
2023-08-26 12:00:00,2.0,22.0,2.0,1.0,7.0,406,337.7142857142857
2023-08-27 00:00:00,13.0,7137529.0,288787.0,681111.0,540756.0,791,361.32616940581545
2023-08-27 12:00:00,6.0,999052.0,87390.0,50824.0,37542.0,386,135.74352331606218
2023-08-28 00:00:00,6.0,10706.0,328.0,3336.0,3888.0,194,184.7680412371134
2023-08-28 12:00:00,2.0,2419306.0,350701.0,744217.0,144085.0,231,807.6926406926407
2023-08-29 00:00:00,2.0,10.0,2.0,0.0,6.0,162,1797.7469135802469
2023-08-29 12:00:00,0.0,0.0,0.0,0.0,0.0,80,48.325
