From,To,Lag,P_value,Correlation,Causal,Type
X1,X1,2,0.002,0.09157391217265595,True,Lag2
X6,X5,0,0.006,0.0881408708733443,True,Simultaneous
X5,X6,0,0.006,0.0881408708733443,True,Simultaneous
X5,X4,3,0.008,0.08285694354356403,True,Lag3
X6,X6,2,0.008,0.08522453324475852,True,Lag2
X4,X6,4,0.01,0.08040538216042363,True,Lag4
X1,X5,4,0.018,0.07790756539434443,True,Lag4
X6,X4,4,0.03,0.0742783085743747,True,Lag4
X2,X3,3,0.038,0.07176280499783368,True,Lag3
X2,X1,0,0.042,0.07136976766240422,True,Simultaneous
X1,X2,0,0.042,0.07136976766240422,True,Simultaneous
X3,X1,1,0.048,0.07005560409230224,True,Lag1
X3,X1,2,0.048,0.07011988081953918,True,Lag2
