From,To,Lag,P_value,Value,Causal,Type,Edge_Type,Restricted_MSE,Full_MSE
X3,X4,3,0.03225806451612903,0.00035792996139458536,True,Lag3,Lagged,0.011507205580954897,0.011149275619560311
X2,X4,2,0.03225806451612903,0.00019100753368345158,True,Lag2,Lagged,0.011339454056562864,0.011148446522879413
X3,X4,2,0.03225806451612903,0.00017366302224240855,True,Lag2,Lagged,0.011222715578281585,0.011049052556039177
X2,X5,2,0.03225806451612903,0.00017319072611057286,True,Lag2,Lagged,0.010941165119844859,0.010767974393734286
X6,X2,1,0.03225806451612903,0.00011817623768485552,True,Lag1,Lagged,0.010017112281087903,0.009898936043403047
X2,X2,3,0.06451612903225806,0.00019489062043293037,False,Lag3,Lagged,0.010068313427577795,0.009873422807144865
X1,X6,1,0.06451612903225806,6.076960751084069e-05,False,Lag1,Lagged,0.010183401414064484,0.010122631806553643
X2,X2,2,0.0967741935483871,5.149176899919318e-05,False,Lag2,Lagged,0.00996001956932595,0.009908527800326757
X5,X4,2,0.0967741935483871,4.765192828505051e-05,False,Lag2,Lagged,0.011308889865123288,0.011261237936838238
X5,X3,3,0.12903225806451613,4.0742669918233596e-05,False,Lag3,Lagged,0.010860892657757101,0.010820149987838867
X2,X6,2,0.12903225806451613,3.505047605536875e-05,False,Lag2,Lagged,0.010147337716189753,0.010112287240134384
X2,X6,1,0.12903225806451613,1.215629025781012e-05,False,Lag1,Lagged,0.010190261362402963,0.010178105072145152
X3,X5,2,0.16129032258064516,0.0001518827693987087,False,Lag2,Lagged,0.011059648761385661,0.010907765991986952
X4,X2,3,0.1935483870967742,1.5086124301568263e-05,False,Lag3,Lagged,0.009947939965613509,0.00993285384131194
X4,X3,3,0.22580645161290322,0.00016751446141717932,False,Lag3,Lagged,0.010980804277700063,0.010813289816282884
X1,X4,3,0.22580645161290322,0.00014313656483725366,False,Lag3,Lagged,0.011378092270030426,0.011234955705193173
X5,X4,3,0.22580645161290322,7.658274683234462e-05,False,Lag3,Lagged,0.011283135945050968,0.011206553198218623
X4,X4,1,0.22580645161290322,3.621286607253388e-05,False,Lag1,Lagged,0.011243395170213555,0.011207182304141021
X4,X6,3,0.25806451612903225,0.0002095210967925313,False,Lag3,Lagged,0.010383115836717695,0.010173594739925164
X6,X3,2,0.25806451612903225,0.00018991037786192377,False,Lag2,Lagged,0.011029678106156562,0.010839767728294638
X3,X4,1,0.25806451612903225,0.00010967771246232945,False,Lag1,Lagged,0.011350176271877304,0.011240498559414974
X2,X4,1,0.2903225806451613,3.444781615168785e-05,False,Lag1,Lagged,0.011299242263488942,0.011264794447337254
X1,X5,3,0.3225806451612903,0.00017575812390560955,False,Lag3,Lagged,0.011146682589124846,0.010970924465219236
X1,X5,1,0.3548387096774194,8.91253540973129e-05,False,Lag1,Lagged,0.010993429112815702,0.010904303758718389
X3,X2,3,0.3870967741935484,9.459643369825153e-05,False,Lag3,Lagged,0.010037807427328498,0.009943210993630247
X6,X2,2,0.3870967741935484,4.292551524705951e-05,False,Lag2,Lagged,0.010026313149793123,0.009983387634546063
X3,X3,1,0.3870967741935484,3.345715785889325e-05,False,Lag1,Lagged,0.010831565818313231,0.010798108660454338
X4,X5,3,0.41935483870967744,0.0001076370285934096,False,Lag3,Lagged,0.01105592009998853,0.01094828307139512
X3,X6,1,0.41935483870967744,8.371860899725192e-05,False,Lag1,Lagged,0.010326443593212739,0.010242724984215487
X1,X3,2,0.41935483870967744,7.366225828243922e-05,False,Lag2,Lagged,0.010905060970302626,0.010831398712020187
X2,X1,1,0.41935483870967744,1.448762301627625e-05,False,Lag1,Lagged,0.010544937313918602,0.010530449690902326
X1,X2,3,0.41935483870967744,9.291140619559213e-06,False,Lag3,Lagged,0.010042592255498568,0.010033301114879009
